# Реплики оператора с живых звонков (STT GigaAM, как есть — без пунктуации,
# числа словами). Разметка: ожидаемый слот (| — любой из; * — префикс),
# ack — речевой акт/подтверждение, на который нужен короткий отклик.
# сценарий	реплика	ожидается
bilet24_call02	что случилось	incident.what|incident.how
bilet24_call02	что происходит	incident.what|incident.how|incident.ongoing
bilet24_call02	служба сто двенадцать что у вас случилось	incident.what|incident.how
bilet32_call01	служба сто двенадцать что произошло	incident.what|incident.how
bilet25_call03	службы сто двенадцать что произошло	incident.what|incident.how
bilet25_call03	что там происходит	incident.what|incident.how|incident.ongoing
bilet25_call03	какое происшествие у вас	incident.what|incident.how
bilet25_call03	во сколько вы обнаружили жену	incident.when
bilet25_call03	во сколько вы ее обнаружили	incident.when
bilet25_call03	кровотечение есть	med.bleeding
bilet25_call03	помощь уже в пути	ack
bilet25_call03	хорошо мы с вами свяжемся	ack
bilet23_call03	служба сто двенадцать что у вас случилось	incident.what|incident.how
bilet23_call03	кто потерялся	victim.*|people.*|incident.what
bilet23_call03	как не знаете что у вас произошло	incident.what|incident.how
bilet23_call03	ладно хорошо продиктуйте адрес	addr.full
bilet23_call03	хорошо	ack
bilet23_call03	соседи что то говорили может он был как то одет	people.clothing
demo_pipe	алло здравствуйте служба сто двенадцать что у вас случилось	incident.what|incident.how
bilet01_call03	алло служба сто двенадцать что произошло	incident.what|incident.how
bilet01_call03	а что у вас случилось	incident.what|incident.how
bilet01_call03	что произошло	incident.what|incident.how
bilet01_call03	служба сто двенадцать что у вас произошло	incident.what|incident.how
bilet30_call02	служба сто двенадцать что вот случилось	incident.what|incident.how
bilet27_call03	алло служба сто двенадцать что в с случилось	incident.what|incident.how
bilet27_call03	хорошо можете сказать адрес дома	addr.full
bilet27_call03	хорошо можете сказать пожалуйста как вас зовут	caller.name
bilet27_call03	ага продиктуйте свой контактный номер	caller.phone
bilet27_call03	хорошо передаю службам вашу заявку до свидания	ack
bilet10_call01	алло здравствуйте служба сто двенадцать что у вас случилось	incident.what|incident.how
bilet10_call01	хорошо где горит	fire.*|addr.full
bilet10_call01	можете адрес пожалуйста	addr.full
bilet10_call01	так хорошо понятно есть открытое пламя	fire.flame
bilet10_call01	пострадавших среди вас нет	victim.present|victim.count
bilet10_call01	да если по подъездная служба как проехать	access.route
bilet10_call01	я понял то есть пострадавших нет медпомощь вам не нужна	victim.present|service.medical
bilet10_call01	хорошо можете пожалуйста назвать свое имя	caller.name
bilet10_call01	хорошо теперь продиктуйте пожалуйста свой контактный	caller.phone
bilet10_call01	да пострадавших нет все верно	victim.present|victim.count
bilet10_call01	есть ли среди вас пострадавших пожалуйста ответьте	victim.present|victim.count
bilet10_call01	у нее ожоги	med.injury
bilet10_call01	хорошо я понял все спасибо записал до свидания служба уже в пути	ack
bilet22_call03	алло здравствуйте служба сто двенадцать что у вас случилось	incident.what|incident.how
bilet22_call03	служба сто двенадцать что случилось	incident.what|incident.how
bilet22_call03	так хорошо вы собственник	caller.role
